Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),RME Enabled,Design
Rocket,27MB,row,1 bytes,3,64,44863011,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,1 bytes,3,64,29858741,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,1 bytes,3,64,22712253,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,2 bytes,3,64,49176388,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,2 bytes,3,64,36161813,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,2 bytes,3,64,28202880,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,3,64,56978969,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,3,64,45346686,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,4 bytes,3,64,38410264,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,8 bytes,3,64,71963612,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,8 bytes,3,64,64216212,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,8 bytes,3,64,60154495,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,16 bytes,3,64,101560288,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,16 bytes,3,64,105217916,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,16 bytes,3,64,107265000,FALSE,"16 Fetch Unit, 4 Rank"
